date,ticker,market,foreign_net_shares,institution_net_shares,individual_net_shares,foreign_holding_ratio_pct,close_krw,volume_shares,source,source_url
2025-06-13,000660,KRX,758573,-492809,-266036,55.31,235500,4100610,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-16,000660,KRX,656648,29866,-673654,55.42,248000,3760740,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-17,000660,KRX,-239639,128369,104135,55.33,249000,5044669,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-18,000660,KRX,-203528,-122329,321787,55.31,246500,4081001,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-19,000660,KRX,56851,-94724,5343,55.32,246000,2317796,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-20,000660,KRX,825146,-92627,-728232,55.42,257000,3597877,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-23,000660,KRX,54144,-300589,208591,55.44,259500,3398736,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-24,000660,KRX,629145,-317387,-296095,55.59,278500,5436312,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-25,000660,KRX,84269,-426172,345406,55.61,286000,5466598,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-26,000660,KRX,173061,-227590,70307,55.66,293000,5894020,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-27,000660,KRX,-641214,-87427,667580,55.52,284000,5134863,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-30,000660,KRX,-202849,107172,85952,55.51,292000,4375298,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-01,000660,KRX,-188824,-216441,380108,55.51,285500,3687981,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-02,000660,KRX,-13536,-162408,188147,55.5,279000,4702056,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-03,000660,KRX,-233077,-24678,248983,55.48,278500,3642140,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-04,000660,KRX,75539,-231341,118462,55.46,270500,3654933,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-07,000660,KRX,-145348,-108026,231279,55.42,271000,2523564,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-08,000660,KRX,160634,70499,-205420,55.44,282000,3119395,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-09,000660,KRX,-50323,-94746,149306,55.43,281000,2626484,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-10,000660,KRX,793940,81630,-871583,55.47,297000,4556065,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-11,000660,KRX,24318,-330246,354131,55.46,294500,3732533,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-14,000660,KRX,699101,-373971,-324695,55.55,300000,2936976,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-15,000660,KRX,15261,-456605,435930,55.55,298500,4196196,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-16,000660,KRX,192113,-455990,260745,55.57,296000,3123297,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-17,000660,KRX,-2041448,-1049071,3023681,55.28,269500,9328322,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-18,000660,KRX,-501541,4691,501407,55.19,269000,5359504,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-21,000660,KRX,-9616,69317,-61055,55.16,272500,2424891,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-22,000660,KRX,15114,-268704,263777,55.13,268500,3139858,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
