date,open,high,low,close,volume
2025-09-08,68.65,71.0,67.86,70.495,5869076.0
2025-09-09,70.26,71.4,69.57,70.51,3364243.0
2025-09-10,72.42,74.49,72.03,73.92,4053043.0
2025-09-11,82.3,85.89,81.38,84.3,10167439.0
2025-09-12,85.31,86.96,82.28,86.13,5641682.0
2025-09-15,85.3,92.055,85.12,90.09,8981300.0
2025-09-16,90.31,93.13,89.56,91.55,6290811.0
2025-09-17,90.775,94.81,90.22,93.97,7031000.0
2025-09-18,97.3,102.93,96.8581,98.87,9441843.0
2025-09-19,98.0,102.99,96.71,102.21,6459932.0
2025-09-22,105.76,108.8,101.59,102.92,7692080.0
2025-09-23,105.0,110.21,104.7,106.4,7834920.0
2025-09-24,103.555,107.72,96.6313,99.83,12409322.0
2025-09-25,96.265,100.45,93.535,94.29,10569285.0
2025-09-26,96.0,99.6462,94.39,97.12,6417832.0
2025-09-29,104.25,114.0,103.348,113.5,12435308.0
2025-09-30,114.1,120.74,112.11,112.2,11414522.0
2025-10-01,113.06,123.85,112.0001,121.12,12237416.0
2025-10-02,128.69,132.29,123.26,124.14,9453339.0
2025-10-03,128.29,137.05,126.7,128.41,10193715.0
2025-10-06,133.6,134.79,119.29,121.17,9963918.0
2025-10-07,125.2,125.2,115.68,120.95,6594596.0
2025-10-08,121.5,132.28,120.2,131.88,7173181.0
2025-10-09,127.0,131.605,126.12,129.68,3561271.0
2025-10-10,131.46,132.0,116.17,116.91,7860144.0
2025-10-13,129.74,135.91,124.0475,134.61,8297339.0
2025-10-14,123.59,130.48,120.96,127.29,7078581.0
2025-10-15,134.75,144.55,130.5001,144.3,8971082.0
2025-10-16,146.0,149.09,141.7,144.27,6289504.0
2025-10-17,139.22,150.82,136.29,140.16,8279616.0
2025-10-20,145.98,152.63,145.5,148.04,6625938.0
2025-10-21,145.8,150.16,142.76,149.29,4177936.0
2025-10-22,149.1,157.4,144.82,146.95,7516791.0
2025-10-23,146.995,167.95,146.0,167.05,9011278.0
2025-10-24,174.4,187.36,173.5,186.16,10653060.0
2025-10-27,191.5,191.85,173.72,176.49,11235483.0
2025-10-28,175.49,178.82,164.56,175.53,9140689.0
2025-10-29,186.67,205.64,181.51,204.36,9364931.0
2025-10-30,192.02,204.9199,191.09,195.82,7341387.0
2025-10-31,203.5,209.77,189.58,199.33,6920430.0
2025-11-03,210.85,213.4,189.1,207.01,10625927.0
2025-11-04,188.135,202.98,185.0,194.57,9800328.0
