date,open,high,low,close,volume
2025-02-19,102.93,103.46,102.47,103.0,1727293.0
2025-02-20,103.07,103.37,101.55,102.64,1479141.0
2025-02-21,102.67,103.42,100.5,100.85,2484203.0
2025-02-24,100.97,101.99,99.235,100.08,4204053.0
2025-02-25,100.0,101.69,99.2868,99.72,3405814.0
2025-02-26,100.32,101.35,99.7,100.27,1924089.0
2025-02-27,102.57,103.84,100.59,100.67,4616300.0
2025-02-28,100.25,102.29,99.68,101.91,4521390.0
2025-03-03,102.95,103.87,99.78,100.06,3190297.0
2025-03-04,98.95,99.62,94.01,94.08,7037637.0
2025-03-05,93.68,93.7699,90.19,92.43,5175880.0
2025-03-06,90.55,90.67,86.39,86.64,5272892.0
2025-03-07,86.855,89.77,86.3,88.0,4617706.0
2025-03-10,87.21,87.95,84.36,86.41,4520640.0
2025-03-11,86.41,87.96,85.4,86.97,3805506.0
2025-03-12,88.0,89.47,86.265,86.73,3808828.0
2025-03-13,86.79,87.4412,85.0,85.62,1573472.0
2025-03-14,86.95,88.63,86.93,87.9,2261009.0
2025-03-17,87.64,91.0517,87.64,90.51,2948522.0
2025-03-18,90.48,90.57,88.44,88.64,2205238.0
2025-03-19,88.44,89.635,88.18,88.93,2225596.0
2025-03-20,88.29,89.78,88.29,88.38,2060484.0
2025-03-21,87.95,88.69,86.6,88.27,2576102.0
2025-03-24,89.41,90.07,88.48,88.79,1714938.0
2025-03-25,88.32,88.44,85.73,87.96,3153929.0
2025-03-26,87.6,88.19,85.94,87.63,3534967.0
2025-03-27,87.21,89.25,86.3,87.5,2977438.0
2025-03-28,86.99,87.36,84.33,84.92,1886071.0
2025-03-31,84.49,85.31,82.8765,84.95,2628617.0
2025-04-01,84.6,85.33,83.31,84.54,2728184.0
2025-04-02,83.74,86.34,83.52,85.52,2810040.0
2025-04-03,80.18,81.16,71.2807,71.53,12915559.0
2025-04-04,68.66,68.68,63.95,66.73,9249816.0
2025-04-07,65.0,72.56,64.18,68.66,7297329.0
2025-04-08,70.99,72.43,65.405,66.54,5679876.0
2025-04-09,65.74,76.02,63.19,74.29,10253514.0
2025-04-10,71.71,72.48,68.65,69.74,5483294.0
2025-04-11,69.23,71.21,67.63,70.15,3879005.0
2025-04-14,74.93,75.23,71.6,72.67,3437331.0
