date,turnover,vol_share,extension,momentum,rsi,volatility,basket_corr,score,close,dollar_vol,raw_turnover_ratio,raw_vol_share,raw_extension,raw_momentum_60d,raw_rsi14,raw_realized_vol20,raw_basket_corr
2025-11-26,100.0,100.0,59.4406,84.0909,51.4296,96.5116,41.138,75.2922,215.04,9246907084.8,5.3436,0.0618,0.2557,3.0566,51.4296,144.6097,0.4114
2025-11-28,100.0,100.0,60.4167,81.203,53.4875,94.7977,41.5404,75.0632,223.28,2971847645.52,5.3634,0.0644,0.2852,2.5719,53.4875,144.0862,0.4154
2025-12-01,99.2593,100.0,51.7241,73.8806,49.8673,97.1264,43.6463,72.4185,210.17,2160728976.71,5.3619,0.066,0.1949,2.0659,49.8673,145.9459,0.4365
2025-12-02,97.7941,99.4318,47.2603,72.5926,48.5658,96.5714,39.3352,70.1958,205.35,2278499736.15,5.3075,0.0659,0.154,1.913,48.5658,145.6029,0.3934
2025-12-03,97.0803,100.0,38.0952,70.5882,45.6459,96.0227,34.3899,66.8958,194.38,1918167692.54,5.2636,0.0667,0.0817,1.7568,45.6459,145.2273,0.3439
2025-12-04,96.3768,100.0,50.6757,72.2628,51.1085,92.0904,36.5119,69.8323,213.31,2595234408.52,5.2201,0.0675,0.1722,1.8857,51.1085,143.9519,0.3651
2025-12-05,95.6835,99.4413,57.047,68.8406,55.0083,95.5056,38.8149,71.681,228.47,1930861885.37,5.162,0.0674,0.2373,1.7102,55.0083,145.1194,0.3881
2025-12-08,90.7143,98.3333,53.3333,66.1871,54.0889,84.9162,40.7193,68.2894,225.47,1963848885.81,4.9211,0.0666,0.2043,1.6178,54.0889,135.7522,0.4072
2025-12-09,88.6525,96.6851,47.0199,64.2857,52.2063,83.3333,35.7457,65.0957,219.46,1382342768.02,4.719,0.0648,0.1591,1.436,52.2063,128.8864,0.3575
2025-12-10,87.3239,95.6044,53.9474,65.9574,55.8924,83.4254,38.5322,67.225,232.86,1418186559.42,4.5725,0.062,0.2144,1.5435,55.8924,130.9999,0.3853
2025-12-11,86.7133,94.5355,58.8235,66.1972,58.1616,82.967,38.1268,68.1351,241.61,1841486910.13,4.4049,0.0593,0.2444,1.5711,58.1616,130.778,0.3813
2025-12-12,84.7222,94.0217,31.8182,58.042,47.5046,84.6995,36.2112,60.0675,206.18,2491288609.68,4.1484,0.0561,0.053,1.0854,47.5046,131.9865,0.3621
2025-12-15,82.7586,90.8108,27.0968,56.9444,46.391,82.0652,39.3695,58.3102,201.87,1264710705.12,3.8954,0.053,0.0233,0.9751,46.391,130.6588,0.3937
2025-12-16,82.1918,89.2473,32.0513,57.931,48.6296,81.6216,38.0478,59.1668,209.31,1389482666.76,3.7252,0.0499,0.0516,1.0337,48.6296,130.1854,0.3805
