date,close,score,pos
2024-04-25,69.44,64.974,1.0
2024-04-26,71.36,69.158,1.0
2024-04-29,69.86,65.393,1.0
2024-04-30,70.83,65.699,1.0
2024-05-01,70.51,62.812,1.0
2024-05-02,69.72,60.694,1.0
2024-05-03,70.95,63.326,1.0
2024-05-06,72.6,65.819,1.0
2024-05-07,71.49,63.874,1.0
2024-05-08,72.04,64.26,1.0
2024-05-09,72.09,63.72,1.0
2024-05-10,71.6,61.526,1.0
2024-05-13,70.97,58.252,1.0
2024-05-14,73.54,65.3,1.0
2024-05-15,75.69,68.813,1.0
2024-05-16,74.1,65.231,1.0
2024-05-17,72.1,60.544,1.0
2024-05-20,73.05,62.087,1.0
2024-05-21,74.01,61.636,1.0
2024-05-22,73.54,58.243,1.0
2024-05-23,74.16,59.474,1.0
2024-05-24,74.81,59.2,1.0
2024-05-28,76.14,58.699,1.0
2024-05-29,77.43,60.546,1.0
2024-05-30,75.51,57.673,1.0
2024-05-31,75.29,56.059,1.0
2024-06-03,74.98,54.684,1.0
2024-06-04,73.94,52.214,1.0
2024-06-05,76.9,61.194,1.0
2024-06-06,75.25,57.02,1.0
2024-06-07,74.98,57.454,1.0
2024-06-10,77.1,63.21,1.0
2024-06-11,76.52,62.06,1.0
2024-06-12,79.19,66.458,1.0
2024-06-13,79.58,65.825,1.0
2024-06-14,78.12,62.472,1.0
2024-06-17,79.86,62.73,1.0
2024-06-18,80.23,62.487,1.0
2024-06-20,76.29,56.61,1.0
2024-06-21,75.77,54.107,1.0
2024-06-24,75.4,53.449,1.0
2024-06-25,76.86,56.312,1.0
2024-06-26,75.47,51.799,1.0
2024-06-27,76.62,53.705,1.0
2024-06-28,75.77,49.821,1.0
2024-07-01,76.38,50.233,1.0
2024-07-02,78.05,52.624,1.0
2024-07-03,77.79,50.736,1.0
2024-07-05,77.17,46.76,1.0
2024-07-08,78.5,48.701,1.0
2024-07-09,78.43,46.946,1.0
2024-07-10,80.24,52.432,1.0
2024-07-11,77.84,47.951,1.0
2024-07-12,78.77,47.052,1.0
2024-07-15,78.82,46.784,1.0
2024-07-16,77.06,44.479,1.0
2024-07-17,71.79,45.209,1.0
2024-07-18,70.24,42.929,1.0
2024-07-19,69.82,40.291,1.0
2024-07-22,73.06,45.253,1.0
2024-07-23,72.96,44.836,1.0
2024-07-24,72.01,42.114,1.0
2024-07-25,66.49,44.147,1.0
2024-07-26,68.26,46.94,1.0
2024-07-29,66.43,44.935,1.0
2024-07-30,63.18,45.108,1.0
2024-07-31,67.05,50.865,1.0
2024-08-01,60.53,49.806,1.0
2024-08-02,57.23,50.701,1.0
2024-08-05,56.99,49.892,1.0
2024-08-06,57.38,50.377,1.0
2024-08-07,56.25,49.289,1.0
2024-08-08,58.98,51.095,1.0
2024-08-09,59.68,51.544,1.0
2024-08-12,60.37,51.76,1.0
2024-08-13,61.58,53.095,1.0
2024-08-14,61.51,52.383,1.0
2024-08-15,63.5,53.713,1.0
2024-08-16,64.05,54.874,1.0
2024-08-19,65.1,55.234,1.0
2024-08-20,64.42,55.083,1.0
2024-08-21,65.03,55.818,1.0
2024-08-22,64.04,53.137,1.0
2024-08-23,64.35,52.429,1.0
2024-08-26,62.69,50.489,1.0
2024-08-27,62.85,49.839,1.0
2024-08-28,62.43,47.875,1.0
2024-08-29,63.03,39.491,1.0
2024-08-30,65.59,36.617,1.0
2024-09-03,63.06,35.63,1.0
2024-09-04,62.95,33.232,1.0
2024-09-05,62.61,30.289,1.0
2024-09-06,60.77,27.11,1.0
2024-09-09,62.61,30.142,1.0
2024-09-10,62.79,29.213,1.0
2024-09-11,63.31,29.234,1.0
2024-09-12,63.25,27.894,1.0
2024-09-13,65.02,28.489,1.0
2024-09-16,64.09,28.72,1.0
2024-09-17,65.89,31.217,1.0
2024-09-18,64.42,30.358,1.0
2024-09-19,65.97,31.709,1.0
2024-09-20,66.75,34.215,1.0
2024-09-23,66.29,33.814,1.0
2024-09-24,66.46,34.723,1.0
2024-09-25,66.0,33.807,1.0
2024-09-26,70.46,51.834,1.0
2024-09-27,69.42,50.246,1.0
2024-09-30,68.29,46.847,1.0
2024-10-01,66.76,40.53,1.0
2024-10-02,66.52,40.982,1.0
2024-10-03,66.58,41.441,1.0
2024-10-04,66.35,40.403,1.0
2024-10-07,66.44,38.753,1.0
